"source","target","freq","source_type","target_type","pitch"
"0-0","2-Seam Fastball",2630,"Count","Pitch","2-Seam Fastball"
"0-0","4-Seam Fastball",3115,"Count","Pitch","4-Seam Fastball"
"0-0","Changeup",765,"Count","Pitch","Changeup"
"0-0","Curveball",756,"Count","Pitch","Curveball"
"0-0","Cutter",484,"Count","Pitch","Cutter"
"0-0","Slider",1201,"Count","Pitch","Slider"
"0-0","Split Finger",120,"Count","Pitch","Split Finger"
"0-1","2-Seam Fastball",1682,"Count","Pitch","2-Seam Fastball"
"0-1","4-Seam Fastball",2068,"Count","Pitch","4-Seam Fastball"
"0-1","Changeup",1019,"Count","Pitch","Changeup"
"0-1","Curveball",894,"Count","Pitch","Curveball"
"0-1","Cutter",433,"Count","Pitch","Cutter"
"0-1","Slider",1337,"Count","Pitch","Slider"
"0-1","Split Finger",150,"Count","Pitch","Split Finger"
"0-2","2-Seam Fastball",957,"Count","Pitch","2-Seam Fastball"
"0-2","4-Seam Fastball",2277,"Count","Pitch","4-Seam Fastball"
"0-2","Changeup",722,"Count","Pitch","Changeup"
"0-2","Curveball",1301,"Count","Pitch","Curveball"
"0-2","Cutter",283,"Count","Pitch","Cutter"
"0-2","Slider",1931,"Count","Pitch","Slider"
"0-2","Split Finger",196,"Count","Pitch","Split Finger"
"1-0","2-Seam Fastball",1633,"Count","Pitch","2-Seam Fastball"
"1-0","4-Seam Fastball",1923,"Count","Pitch","4-Seam Fastball"
"1-0","Changeup",715,"Count","Pitch","Changeup"
"1-0","Curveball",247,"Count","Pitch","Curveball"
"1-0","Cutter",297,"Count","Pitch","Cutter"
"1-0","Slider",640,"Count","Pitch","Slider"
"1-0","Split Finger",90,"Count","Pitch","Split Finger"
"1-1","2-Seam Fastball",1591,"Count","Pitch","2-Seam Fastball"
"1-1","4-Seam Fastball",1947,"Count","Pitch","4-Seam Fastball"
"1-1","Changeup",1076,"Count","Pitch","Changeup"
"1-1","Curveball",707,"Count","Pitch","Curveball"
"1-1","Cutter",387,"Count","Pitch","Cutter"
"1-1","Slider",1220,"Count","Pitch","Slider"
"1-1","Split Finger",182,"Count","Pitch","Split Finger"
